"BusStopName" "Longitude" "Latitude" "Lines" "BusStopID" "Tag"
"Alte Universität" 8.7718127 50.8077535 "L" "Stop 1" "Alte Universität"
"Am Herrenfeld" 8.7544929 50.7955097 "L-5-8" "Stop 2" "Am Herrenfeld"
"Am Plan" 8.7668072 50.8079676 "L-10" "Stop 3" "Am Plan"
"Auf der Weide/AquaMar" 8.7696428 50.80395755 "L-3, L-3" "Stop 4" "Auf der Weide/AquaMar"
"Botanischer Garten" 8.805529 50.8045993 "L-7-9" "Stop 5" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Botanischer_Garten.pdf'>Botanischer Garten</a></b>"
"Bunsenstraße" 8.7736616 50.8138834 "L-1-2-3-4-5-6-7" "Stop 6" "Bunsenstraße"
"Elisabethstraße" 8.768593 50.8158324 "L-1-2-3-4-5-6-7" "Stop 7" "Elisabethstraße"
"Erlenring" 8.77601825 50.8075277 "L, L-6-8-9-10" "Stop 8" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Erlenring.pdf'>Erlenring</a></b>"
"Erwin-Piscator-Haus" 8.77439375 50.81048085 "L-1-2-3-4-5-6-7, L-1-2-3-4-5-6-7" "Stop 9" "Erwin-Piscator-Haus"
"Friedrichstraße" 8.7650736 50.80124025 "L-3, L-3" "Stop 10" "Friedrichstraße"
"Garten des Gedenkens" 8.77049515 50.8072885 "L-1-2-3-4-5-7-8-9-10, L-1-2-3-4-5-7-8-9-10" "Stop 11" "Garten des Gedenkens"
"Gisonenweg" 8.7585879 50.808611 "L-10" "Stop 12" "Gisonenweg"
"Gisselberg" 8.750166 50.77285715 "L, L" "Stop 13" "Gisselberg"
"Gisselberger Straße" 8.7612794 50.79665625 "L-3, L-3" "Stop 14" "Gisselberger Straße"
"Gutenbergstraße" 8.76848773333333 50.8070019333333 "L-1-2-4-5-7-8-10, L-1-2-3-4-5-7-8-9-10, L-1-2-3-4-5-7-8-9-10" "Stop 15" "Gutenbergstraße"
"Hanno-Drechsler-Platz" 8.7686135 50.8076293 "L-10" "Stop 16" "Hanno-Drechsler-Platz"
"Hauptbahnhof" 8.77365538 50.8187442 "L-1-2-3-4-5-6-7, L-1-2-3-4-5-6-7, L-1-2-3-4-5-6-7-10, L-1-2-3-4-5-6-7-10, L-1-2-3-4-5-6-7-10" "Stop 17" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Hauptbahnhof.pdf'>Hauptbahnhof</a></b>"
"Herder-Institut" 8.7604117 50.8085756 "L-10" "Stop 18" "Herder-Institut"
"Hermershausen" 8.6898668 50.7871867 "L" "Stop 19" "Hermershausen"
"Herrmannstraße" 8.7428149 50.8023272 "L-5" "Stop 20" "Herrmannstraße"
"Hölderlinstraße" 8.7914543 50.8001863 "L-6-7-9" "Stop 21" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Hölderlinstraße.pdf'>Hölderlinstraße</a></b>"
"Kreishaus" 8.77332855 50.7864874 "L, L-6" "Stop 22" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Kreishaus.pdf'>Kreishaus</a></b>"
"Ludwig-Schüler-Park" 8.7800513 50.8124893 "L-10" "Stop 23" "Ludwig-Schüler-Park"
"Marburg-Bahnhofstraße" 8.7711778 50.820541 "L" "Stop 24" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Bahnhofstraße.pdf'>Bahnhofstraße</a></b>"
"Marburg, Fernbusstation" 8.7690421125 50.824586975 "L-6, L-3-4, L-4, L-10, L, L-3-4, L, L-7" "Stop 25" "Marburg, Fernbusstation"
"Marburg-Messe" 8.76703275 50.8285432 "L, L" "Stop 26" "Marburg-Messe"
"Marburg Mitte" 8.7777007 50.8048259 "L" "Stop 27" "Marburg Mitte"
"Marktplatz (Marburger Schlossbahn)" 8.7703748 50.8090354 "L-10" "Stop 28" "Marktplatz (Marburger Schlossbahn)"
"Oberstadt Markt" 8.7704485 50.8090832 "L-10" "Stop 29" "Oberstadt Markt"
"Ortenbergcenter" 8.7766037 50.8157691 "L-10" "Stop 30" "Ortenbergcenter"
"Philippshaus" 8.7638933 50.8064578 "L-1-2-4-5-7-8-10" "Stop 31" "Philippshaus"
"Platz der Weissen Rose" 8.7382807 50.7912727 "L-5-8" "Stop 32" "Platz der Weissen Rose"
"Radestraße" 8.75994905 50.8011494 "L-1-2-4-7, L-1-2-4-7" "Stop 33" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Radestraße.pdf'>Radestraße</a></b>"
"Reichwein-Schule" 8.7747419 50.8003103 "L-6" "Stop 34" "Reichwein-Schule"
"Rudolphsplatz" 8.77281365 50.80881765 "L-1-2-3-4-5-6-7, L-1-2-3-4-5-6-7" "Stop 35" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Rudolphsplatz_Stadthalle.pdf'>Rudolphplatz</a></b>"
"Schloss" 8.7666104 50.8098212 "L-10" "Stop 36" "Schloss"
"Schlosserstraße" 8.7717155 50.82568785 "L-4-7, L-4-7" "Stop 37" "Schlosserstraße"
"Schulstraße" 8.7717237 50.8060496 "L-3" "Stop 38" "Schulstraße"
"Sellhof" 8.7343862 50.8112698 "L" "Stop 39" "Sellhof"
"Stadtbüro" 8.76707276666667 50.7900481666667 "L-1-4-6, L-1-4-6, L-2" "Stop 40" "Stadtbüro"
"Steinweg (Marburger Schlossbahn)" 8.7692584 50.8137483 "L" "Stop 41" "Steinweg (Marburger Schlossbahn)"
"Stiftstraße" 8.7479212 50.8014077 "L-5" "Stop 42" "Stiftstraße"
"Südbahnhof" 8.76343205 50.7950821 "L-2-7, L-1-2-4-6-7" "Stop 43" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Südbahnhof.pdf'>Südbahnhof</a></b>"
"Sybelstraße" 8.7618332 50.8066696 "L-10, L-10" "Stop 44" "Sybelstraße"
"Taubenweg" 8.7537193 50.8026607 "L-5" "Stop 45" "Taubenweg"
"Umgehungsstraße/Im Rudert" 8.76506725 50.78356555 "L, L" "Stop 46" "Umgehungsstraße/Im Rudert"
"Universitätsklinikum" 8.8056549 50.8163655 "L-7-9" "Stop 47" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Universitätsklinikum.pdf'>Universitätsklinikum</a></b>"
"Wilhelmsplatz" 8.7589241 50.8044299 "L-1-2-4-5-7-8, L-5, L-1-2-4-5-7-8, L-10" "Stop 48" "<b><a href='http://stadtwerke-marburg.de/fileadmin/media/stadtverkehr/haltest/Wilhelmsplatz.pdf'>Wilhelmsplatz</a></b>"
"Zum Neuen Hieb" 8.7642843 50.7710927 "L-2" "Stop 49" "Zum Neuen Hieb"
"Zwetschenweg" 8.7509434 50.7976432 "L-5-8" "Stop 50" "Zwetschenweg"
