"BusStopID","Longitude","Latitude","BusStopName"
"1","Stop_1",8.776069,50.8007041,"node/20111061"
"2","Stop_5",8.7686596,50.8070239,"node/20111252"
"3","Stop_6",8.7500458,50.7703835,"Gisselberg"
"4","Stop_7",8.7503581,50.7722708,"node/30107292"
"5","Stop_8",8.750226,50.7725554,"node/30107293"
"6","Stop_9",8.7502862,50.7753308,"Gisselberg"
"7","Stop_15",8.7645078,50.7967957,"node/60741877"
"8","Stop_16",8.7659655,50.7965239,"node/60741878"
"9","Stop_18",8.7645162,50.8074677,"node/60783136"
"10","Stop_19",8.7638733,50.7964721,"node/62473807"
"11","Stop_20",8.7720194,50.8399696,"node/65777627"
"12","Stop_21",8.7733682,50.8091556,"node/73872559"
"13","Stop_22",8.7757973,50.8133349,"node/73872582"
"14","Stop_23",8.7766984,50.8069275,"node/81567075"
"15","Stop_24",8.7715617,50.8110369,"node/92149563"
"16","Stop_25",8.7717237,50.8060496,"Schulstraße"
"17","Stop_26",8.7747186,50.8281414,"node/114666891"
"18","Stop_29",8.7767733,50.8077947,"node/128192216"
"19","Stop_31",8.7777007,50.8048259,"Marburg Mitte"
"20","Stop_34",8.7787503,50.7855003,"node/178811063"
"21","Stop_35",8.7830881,50.8141247,"node/180556151"
"22","Stop_37",8.6962245,50.7817017,"Haddamshausen"
"23","Stop_38",8.7048392,50.7782143,"Steinborn"
"24","Stop_39",8.7075253,50.7774167,"Haddamshausen"
"25","Stop_46",8.7723581,50.8094052,"node/267991757"
"26","Stop_49",8.7711778,50.820541,"Marburg-Bahnhofstraße"
"27","Stop_51",8.7343862,50.8112698,"Sellhof"
"28","Stop_54",8.7811905,50.8056885,"node/277775251"
"29","Stop_55",8.7831604,50.8056346,"node/277776981"
"30","Stop_56",8.7741948,50.8189919,"node/279034185"
"31","Stop_57",8.7739666,50.8190045,"Hauptbahnhof, B2"
"32","Stop_59",8.7781187,50.8072053,"node/299983623"
"33","Stop_60",8.7765476,50.807522,"node/300291275"
"34","Stop_61",8.7685603,50.8070085,"node/300444854"
"35","Stop_62",8.7690467,50.8146237,"node/305724796"
"36","Stop_63",8.7692498,50.8145019,"node/305724798"
"37","Stop_64",8.8056779,50.8167829,"Universitätsklinikum, A3"
"38","Stop_65",8.8056781,50.8165649,"Universitätsklinikum, A2"
"39","Stop_67",8.7593398,50.8052244,"node/310194848"
"40","Stop_69",8.7675701,50.8415121,"node/310915858"
"41","Stop_70",8.7729836,50.8284931,"node/310923605"
"42","Stop_73",8.7599274,50.8366498,"node/311833408"
"43","Stop_75",8.7802887,50.8078285,"Marburg"
"44","Stop_77",8.7795405,50.812722,"node/314898393"
"45","Stop_78",8.7457562,50.8394844,"node/315560805"
"46","Stop_79",8.7743427,50.8137235,"node/316691790"
"47","Stop_80",8.7658431,50.8139778,"node/316692686"
"48","Stop_81",8.775678,50.82894,"Marburg"
"49","Stop_85",8.78069,50.8077519,"node/336254346"
"50","Stop_86",8.7692827,50.8146079,"node/345123805"
"51","Stop_87",8.7757319,50.80783,"node/345602535"
"52","Stop_88",8.7725686,50.808859,"node/346256049"
"53","Stop_90",8.7646136,50.8065581,"node/353041531"
"54","Stop_91",8.7892066,50.799621,"node/358434155"
"55","Stop_92",8.7684577,50.8159737,"node/358439800"
"56","Stop_94",8.7463604,50.8055483,"node/370212826"
"57","Stop_95",8.8021073,50.7715686,"Hof Capelle"
"58","Stop_97",8.7788555,50.7846764,"node/403369575"
"59","Stop_98",8.7651477,50.7749162,"node/422865683"
"60","Stop_99",8.781698,50.776504,"node/428421643"
"61","Stop_100",8.783415,50.7747242,"node/428421653"
"62","Stop_101",8.7651489,50.774949,"node/430378579"
"63","Stop_102",8.7603276,50.788111,"node/454244430"
"64","Stop_103",8.7657774,50.7748231,"node/455231771"
"65","Stop_104",8.7820535,50.7866581,"node/469995790"
"66","Stop_105",8.7800849,50.7852946,"node/469995794"
"67","Stop_106",8.7671697,50.7878844,"node/469995803"
"68","Stop_107",8.7534582,50.8025342,"node/472419246"
"69","Stop_110",8.7604117,50.8085756,"Herder-Institut, A1"
"70","Stop_111",8.768803,50.8070419,"node/490524220"
"71","Stop_112",8.7650752,50.783501,"node/506291063"
"72","Stop_113",8.7446334,50.7947574,"Graf-von-Stauffenberg-Straße"
"73","Stop_114",8.7616688,50.8385292,"Marburg"
"74","Stop_115",8.7582855,50.8046812,"node/513888398"
"75","Stop_116",8.7581357,50.8046257,"Wilhelmsplatz, C1"
"76","Stop_117",8.7854488,50.8200945,"node/520397339"
"77","Stop_118",8.7622266,50.8318728,"node/523079063"
"78","Stop_119",8.7609016,50.7962901,"node/550521410"
