"BusStopID","Longitude","Latitude","BusStopName","Name2","NbBusLine","BusLine","Lines"
"Stop_769",8.7631576,50.7949803,"Südbahnhof, A7","Südbahnhof",0,"L","L-2-7"
"Stop_213",8.7479212,50.8014077,"Stiftstraße","Stiftstraße",0,"L","L-5"
"Stop_613",8.773024,50.8089998,"Rudolphsplatz, A1","Rudolphsplatz",0,"L","L-1-2-3-4-5-6-7"
"Stop_839",8.7650692,50.7835367,"Umgehungsstraße/Im Rudert","Umgehungsstraße/Im Rudert",0,"L","L"
"Stop_600",8.7739587,50.8187338,"Hauptbahnhof, A1","Hauptbahnhof",0,"L","L-1-2-3-4-5-6-7"
"Stop_130",8.7889535,50.7916627,"Pommernweg","Pommernweg",0,"L","L-6"
"Stop_720",8.7585879,50.808611,"Gisonenweg, B2","Gisonenweg",0,"L","L-10"
"Stop_715",8.7736616,50.8138834,"Bunsenstraße","Bunsenstraße",0,"L","L-1-2-3-4-5-6-7"
"Stop_723",8.7692584,50.8137483,"Steinweg (Marburger Schlossbahn)","Steinweg (Marburger Schlossbahn)",0,"L","L"
"Stop_268",8.7764626,50.8073014,"Erlenring, C1","Erlenring",0,"L","L"
"Stop_717",8.768593,50.8158324,"Elisabethstraße","Elisabethstraße",0,"L","L-1-2-3-4-5-6-7"
"Stop_733",8.7671818,50.8068168,"Gutenbergstraße, B4","Gutenbergstraße",0,"L","L-1-2-4-5-7-8-10"
"Stop_158",8.7680485,50.8405791,"Am Kaufmarkt","Am Kaufmarkt",0,"L","L-3-4"
"Stop_718",8.7704485,50.8090832,"Oberstadt Markt","Oberstadt Markt",0,"L","L-10"
"Stop_750",8.758922,50.8041502,"Wilhelmsplatz, B4","Wilhelmsplatz",0,"L","L-1-2-4-5-7-8"
"Stop_607",8.7692934,50.8071169,"Gutenbergstraße, A3","Gutenbergstraße",0,"L","L-1-2-3-4-5-7-8-9-10"
"Stop_744",8.7600809,50.8009975,"Radestraße, A5","Radestraße",0,"L","L-1-2-4-7"
"Stop_225",8.6898668,50.7871867,"Hermershausen","Hermershausen",0,"L","L"
"Stop_615",8.7716992,50.82577,"Schlosserstraße","Schlosserstraße",0,"L","L-4-7"
"Stop_49",8.7711778,50.820541,"Marburg-Bahnhofstraße","Marburg-Bahnhofstraße",0,"L","L"
