"StoreID" "Longitude" "Latitude" "Group" "Labels" "BusStopID"
"Store_57" 8.76303 50.79458 "pharmacy" "Apotheke am Suedbahnhof" "Stop 43"
"Store_58" 8.75054 50.801278 "pharmacy" "Apotheke an der Hohen Leuchte" "Stop 42"
"Store_59" 8.77281 50.80915 "pharmacy" "Apotheke im Lahncenter" "Stop 35"
"Store_60" 8.77 50.77981 "pharmacy" "Apotheke Zum Frauenberg oHG" "Stop 46"
"Store_61" 8.77424 50.81864 "pharmacy" "Bahnhof-Apotheke" "Stop 17"
"Store_62" 8.785488 50.792918 "pharmacy" "Behring-Apotheke" "Stop 21"
"Store_63" 8.751998 50.816304 "pharmacy" "Brunnen-Apotheke" "Stop 12"
"Store_64" 8.775634 50.813256 "pharmacy" "Deutschhaus-Apotheke" "Stop 6"
"Store_65" 8.76927 50.81407 "pharmacy" "Einhorn-Apotheke" "Stop 41"
"Store_66" 8.777324 50.806854 "pharmacy" "Erlenring-Apotheke" "Stop 8"
"Store_67" 8.770966 50.817096 "pharmacy" "Hirsch-Apotheke" "Stop 7"
"Store_68" 8.76751 50.80589 "pharmacy" "Lahn-Apotheke" "Stop 15"
"Store_69" 8.769494 50.840738 "pharmacy" "Neue Apotheke" "Stop 26"
"Store_71" 8.771386 50.809115 "pharmacy" "Philipps-Apotheke" "Stop 29"
"Store_72" 8.758669 50.804417 "pharmacy" "Rosen-Apotheke" "Stop 48"
"Store_73" 8.769113 50.807392 "pharmacy" "Schlossberg-Apotheke" "Stop 16"
"Store_74" 8.76 50.80057 "pharmacy" "Sonnen-Apotheke" "Stop 33"
"Store_75" 8.75495 50.83584 "pharmacy" "St. Elisabeth-Apotheke" "Stop 26"
"Store_76" 8.690359 50.81289 "pharmacy" "Weidenborn-Apotheke" "Stop 19"
"Store_77" 8.76296 50.79486 "taxi" "Ayse's Taxi" "Stop 43"
"Store_78" 8.772052 50.825994 "taxi" "Cengiz" "Stop 37"
"Store_79" 8.77122 50.8282 "taxi" "CityTaxi" "Stop 37"
"Store_80" 8.77123 50.82197 "taxi" "Minicar 24 Marburg" "Stop 24"
"Store_81" 8.778238 50.804504 "taxi" "My Car Taxi" "Stop 27"
"Store_82" 8.77235 50.83747 "taxi" "Sparcar GbR" "Stop 26"
"Store_83" 8.780013 50.773228 "taxi" "Taxi Kazim" "Stop 49"
"Store_84" 8.77 50.82521 "taxi" "Taxi Mitte" "Stop 25"
"Store_87" 8.78 50.78916 "taxi" "Taxi-Express Saleh" "Stop 22"
"Store_88" 8.76104 50.83353 "taxi" "Taxi-Ruf Brunett" "Stop 26"
"Store_89" 8.775585 50.818005 "taxi" "TeleCar-Stadtmobil 24 Marburg LTD" "Stop 17"
"Store_90" 8.77 50.78307 "taxi" "VIPcar" "Stop 46"
"Store_91" 8.77 50.82 "taxi" "Yellow Car" "Stop 24"
"Store_92" 8.755832 50.839215 "accomodation" "Begegnungszentrum Sonneck" "Stop 26"
"Store_93" 8.772945 50.804287 "accomodation" "Campingplatz Lahnaue" "Stop 38"
"Store_94" 8.76661 50.77533 "accomodation" "Carle" "Stop 49"
"Store_95" 8.77487 50.81886 "accomodation" "Hostel Marburg-One" "Stop 17"
"Store_96" 8.76379 50.79188 "accomodation" "Hotel im Kornspeicher" "Stop 40"
"Store_97" 8.768644 50.815571 "accomodation" "Hotel Marburger Hof" "Stop 7"
"Store_98" 8.773646 50.803895 "accomodation" "Jugendherberge" "Stop 38"
"Store_99" 8.76082 50.83473 "accomodation" "Lahngarten" "Stop 26"
"Store_100" 8.77222 50.80865 "accomodation" "Pension Harmony" "Stop 35"
"Store_102" 8.74071 50.80047 "accomodation" "Schneider" "Stop 20"
"Store_103" 8.76915 50.80472 "accomodation" "Tusculum" "Stop 4"
"Store_104" 8.76826 50.81873 "accomodation" "Vila Vita Rosenpark" "Stop 24"
"Store_105" 8.770322 50.81704 "accomodation" "Village Stadthotel" "Stop 7"
"Store_106" 8.772573 50.80943 "accomodation" "Welcome Hotel Marburg" "Stop 35"
"Store_107" 8.68925 50.80914 "accomodation" "Zum Alten Schneider" "Stop 19"
"Store_108" 8.77183 50.81001 "supermarket" "Asia Center" "Stop 29"
"Store_109" 8.769 50.81547 "supermarket" "Asia Shop" "Stop 7"
"Store_110" 8.77038 50.83001 "supermarket" "Aldi" "Stop 26"
"Store_111" 8.76885 50.78678 "supermarket" "Aldi" "Stop 22"
"Store_113" 8.765671 50.842508 "supermarket" "Aldi" "Stop 26"
"Store_114" 8.77383 50.82426 "supermarket" "Edeka Kempf" "Stop 37"
"Store_115" 8.785707 50.793316 "supermarket" "Edeka Neukauf" "Stop 21"
"Store_116" 8.75 50.79893 "supermarket" "Edeka Neukauf" "Stop 50"
"Store_117" 8.77 50.81751 "supermarket" "Edeka Neukauf" "Stop 7"
"Store_118" 8.75094 50.80066 "supermarket" "Edeka Pinschmidt / Getraenkemarkt" "Stop 42"
"Store_119" 8.765461 50.788476 "supermarket" "Harman Yeri Supermarkt" "Stop 40"
"Store_120" 8.765864 50.788137 "supermarket" "Herkules" "Stop 40"
"Store_121" 8.765621 50.841956 "supermarket" "Lidl-Markt" "Stop 26"
"Store_122" 8.766674 50.785914 "supermarket" "Lidl-Markt" "Stop 46"
"Store_124" 8.77077 50.82488 "supermarket" "Penny Markt" "Stop 37"
"Store_125" 8.758226 50.804829 "supermarket" "REWE" "Stop 48"
"Store_126" 8.767192 50.806504 "supermarket" "REWE im Ahrens" "Stop 15"
"Store_128" 8.785228 50.792205 "supermarket" "REWE Markt Kaiser" "Stop 21"
"Store_130" 8.766864 50.814306 "supermarket" "tegut" "Stop 41"
"Store_131" 8.767143 50.786993 "supermarket" "tegut" "Stop 40"
"Store_132" 8.769347 50.80655 "supermarket" "tegut" "Stop 15"
"Store_133" 8.773485 50.818944 "bakery" "Back Company" "Stop 17"
"Store_152" 8.768565 50.806711 "bakery" "Backhaus Horst" "Stop 15"
"Store_153" 8.75 50.79895 "bakery" "Backhaus Horst" "Stop 50"
"Store_154" 8.77 50.81728 "bakery" "Backhaus Horst" "Stop 7"
"Store_155" 8.749719 50.816106 "bakery" "Backshop Rudolf Kraft" "Stop 12"
"Store_156" 8.76928 50.81437 "bakery" "Backshop Rudolf Kraft" "Stop 41"
"Store_157" 8.790474 50.800036 "bakery" "Dickel" "Stop 21"
"Store_179" 8.773793 50.819192 "cafe" "Basic Coffee" "Stop 17"
"Store_193" 8.770939 50.810426 "cafe" "Contigo Kaffeeroesterei" "Stop 29"
"Store_200" 8.76841 50.77652 "cafe" "Eisdiele Adria" "Stop 49"
"Store_202" 8.79725 50.815442 "cafe" "Kaiser-Wilhelm-Turm / Spiegelslustturm" "Stop 47"
"Store_204" 8.77066 50.810676 "cafe" "Konditorei Klingelhoefer" "Stop 29"
"Store_206" 8.76737 50.80811 "cafe" "La Manufacture d'Anouk" "Stop 3"
"Store_210" 8.77519 50.80756 "cafe" "Weidenhaeuser Kaffeeroesterei" "Stop 8"
"Store_212" 8.76842 50.82957 "imbiss" "Burger King" "Stop 26"
"Store_213" 8.771683 50.810264 "imbiss" "Burgerlokal" "Stop 29"
"Store_215" 8.772275 50.809767 "imbiss" "Chilli King" "Stop 35"
"Store_217" 8.774134 50.819633 "imbiss" "Ditsch" "Stop 17"
