"StoreID","Longitude","Latitude","Group","Labels","Name2"
"Store_57",8.76303,50.79458,"pharmacy","Apotheke am Suedbahnhof","Südbahnhof"
"Store_58",8.75054,50.801278,"pharmacy","Apotheke an der Hohen Leuchte","Stiftstraße"
"Store_59",8.77281,50.80915,"pharmacy","Apotheke im Lahncenter","Rudolphsplatz"
"Store_60",8.77,50.77981,"pharmacy","Apotheke Zum Frauenberg oHG","Umgehungsstraße/Im Rudert"
"Store_61",8.77424,50.81864,"pharmacy","Bahnhof-Apotheke","Hauptbahnhof"
"Store_62",8.785488,50.792918,"pharmacy","Behring-Apotheke","Pommernweg"
"Store_63",8.751998,50.816304,"pharmacy","Brunnen-Apotheke","Gisonenweg"
"Store_64",8.775634,50.813256,"pharmacy","Deutschhaus-Apotheke","Bunsenstraße"
"Store_65",8.76927,50.81407,"pharmacy","Einhorn-Apotheke","Steinweg (Marburger Schlossbahn)"
"Store_66",8.777324,50.806854,"pharmacy","Erlenring-Apotheke","Erlenring"
"Store_67",8.770966,50.817096,"pharmacy","Hirsch-Apotheke","Elisabethstraße"
"Store_68",8.76751,50.80589,"pharmacy","Lahn-Apotheke","Gutenbergstraße"
"Store_69",8.769494,50.840738,"pharmacy","Neue Apotheke","Am Kaufmarkt"
"Store_71",8.771386,50.809115,"pharmacy","Philipps-Apotheke","Oberstadt Markt"
"Store_72",8.758669,50.804417,"pharmacy","Rosen-Apotheke","Wilhelmsplatz"
"Store_73",8.769113,50.807392,"pharmacy","Schlossberg-Apotheke","Hanno-Drechsler-Platz"
"Store_74",8.76,50.80057,"pharmacy","Sonnen-Apotheke","Radestraße"
"Store_75",8.75495,50.83584,"pharmacy","St. Elisabeth-Apotheke","Am Kaufmarkt"
"Store_76",8.690359,50.81289,"pharmacy","Weidenborn-Apotheke","Hermershausen"
"Store_77",8.76296,50.79486,"taxi","Ayse's Taxi","Südbahnhof"
"Store_78",8.772052,50.825994,"taxi","Cengiz","Schlosserstraße"
"Store_79",8.77122,50.8282,"taxi","CityTaxi","Schlosserstraße"
"Store_80",8.77123,50.82197,"taxi","Minicar 24 Marburg","Marburg-Bahnhofstraße"
"Store_81",8.778238,50.804504,"taxi","My Car Taxi","Marburg Mitte"
"Store_82",8.77235,50.83747,"taxi","Sparcar GbR","Am Kaufmarkt"
"Store_83",8.780013,50.773228,"taxi","Taxi Kazim","Zum Neuen Hieb"
"Store_84",8.77,50.82521,"taxi","Taxi Mitte","Schlosserstraße"
"Store_87",8.78,50.78916,"taxi","Taxi-Express Saleh","Kreishaus"
"Store_88",8.76104,50.83353,"taxi","Taxi-Ruf Brunett","Aff�llerstra�e"
"Store_89",8.775585,50.818005,"taxi","TeleCar-Stadtmobil 24 Marburg LTD","Marburg, Fernbusstation"
"Store_90",8.77,50.78307,"taxi","VIPcar","Umgehungsstraße/Im Rudert"
"Store_91",8.77,50.82,"taxi","Yellow Car","Marburg-Bahnhofstraße"
"Store_92",8.755832,50.839215,"accomodation","Begegnungszentrum Sonneck","Am Kaufmarkt"
"Store_93",8.772945,50.804287,"accomodation","Campingplatz Lahnaue","Schulstraße"
"Store_94",8.76661,50.77533,"accomodation","Carle","Zum Neuen Hieb"
"Store_95",8.77487,50.81886,"accomodation","Hostel Marburg-One","Hauptbahnhof"
"Store_96",8.76379,50.79188,"accomodation","Hotel im Kornspeicher","Stadtbüro"
"Store_97",8.768644,50.815571,"accomodation","Hotel Marburger Hof","Elisabethstraße"
"Store_98",8.773646,50.803895,"accomodation","Jugendherberge","Schulstraße"
"Store_99",8.76082,50.83473,"accomodation","Lahngarten","Aff�llerstra�e"
"Store_100",8.77222,50.80865,"accomodation","Pension Harmony","Rudolphsplatz"
"Store_102",8.74071,50.80047,"accomodation","Schneider","Herrmannstraße"
"Store_103",8.76915,50.80472,"accomodation","Tusculum","Auf der Weide/AquaMar"
"Store_104",8.76826,50.81873,"accomodation","Vila Vita Rosenpark","Marburg-Bahnhofstraße"
"Store_105",8.770322,50.81704,"accomodation","Village Stadthotel","Elisabethstraße"
"Store_106",8.772573,50.80943,"accomodation","Welcome Hotel Marburg","Rudolphsplatz"
"Store_107",8.68925,50.80914,"accomodation","Zum Alten Schneider","Hermershausen"
"Store_108",8.77183,50.81001,"supermarket","Asia Center","Oberstadt Markt"
"Store_109",8.769,50.81547,"supermarket","Asia Shop","Elisabethstraße"
"Store_110",8.77038,50.83001,"supermarket","Aldi","Aff�llerstra�e"
"Store_111",8.76885,50.78678,"supermarket","Aldi","Kreishaus"
"Store_113",8.765671,50.842508,"supermarket","Aldi","Am Kaufmarkt"
"Store_114",8.77383,50.82426,"supermarket","Edeka Kempf","Schlosserstraße"
"Store_115",8.785707,50.793316,"supermarket","Edeka Neukauf","Pommernweg"
"Store_116",8.75,50.79893,"supermarket","Edeka Neukauf","Zwetschenweg"
"Store_117",8.77,50.81751,"supermarket","Edeka Neukauf","Elisabethstraße"
"Store_118",8.75094,50.80066,"supermarket","Edeka Pinschmidt / Getraenkemarkt","Stiftstraße"
"Store_119",8.765461,50.788476,"supermarket","Harman Yeri Supermarkt","Stadtbüro"
"Store_120",8.765864,50.788137,"supermarket","Herkules","Stadtbüro"
